공고ID,공고제목,회사명,직무카테고리,회사규모,tech_all,게시년월,cluster
330063,DevOps 엔지니어,패스트파이브,AI_ML,스타트업/중소,"AWS, CI/CD, Go, K8s, MongoDB, MySQL, Redis, Terraform",2025-12,2
330051,Backend Engineer(혜택 서비스),자비스앤빌런즈(삼쩜삼),백엔드,스타트업/중소,"AWS, Docker, Git, Java, Kafka, Kotlin, MSA, MySQL, Redis, Spring, Spring Boot",2025-12,3
330029,PostgreSQL 기술지원 주니어 엔지니어  (Junior PostgreSQL Support Engineer),스카이월드와이드,QA,스타트업/중소,"Jira, Linux, PostgreSQL, Python",2025-12,2
330020,[노스페이스] SAP CO모듈,영원아웃도어,기타,스타트업/중소,,2025-12,6
330019,[노스페이스] SAP FI 모듈,영원아웃도어,기타,스타트업/중소,,2025-12,6
330017,[노스페이스] SAP SD모듈,영원아웃도어,기타,스타트업/중소,,2025-12,6
330014,[노스페이스] SAP MM 모듈,영원아웃도어,기타,스타트업/중소,,2025-12,6
330000,[노스페이스] 정보보호 최고책임자(CISO) (1년 계약직),영원아웃도어,보안,스타트업/중소,,2025-12,8
329985,프로덕트 웹 개발자,오렌지스퀘어,프론트엔드,스타트업/중소,"CI/CD, Git, GitHub, GitHub Actions, Java, JavaScript, React, TypeScript",2025-12,1
329974,SW검증 신입 (E-모빌리티시스템실),슈어소프트테크,QA,스타트업/중소,MATLAB,2025-12,6
329963,Frontend Engineer(5년 이상),제로엑스플로우,백엔드,스타트업/중소,"Java, JavaScript, React",2025-12,1
329959,결제(2차 PG) 시스템 운영 및 개발 조직장(12년~20년),엔피아이네트웍스,백엔드,스타트업/중소,"AWS, Azure, CI/CD, GCP, Java, JavaScript, MySQL, Spring, Spring Boot",2025-12,0
329946,[인턴] 백엔드 개발자 (전환형),넥스트그라운드,백엔드,스타트업/중소,"Elasticsearch, Go, Java, MongoDB, MySQL, PostgreSQL, Redis, Spring",2025-12,0
329945,[인턴] 프론트엔드 개발자 (전환형),넥스트그라운드,프론트엔드,스타트업/중소,"React, TypeScript",2025-12,1
329943,백엔드 엔지니어 (2~5년),넥스트그라운드,백엔드,스타트업/중소,"Go, Java, MongoDB, MySQL, Redis, Spring",2025-12,0
329942,프론트 엔지니어 (2~5년),넥스트그라운드,프론트엔드,스타트업/중소,"Flutter, Git, GitHub, React, TypeScript",2025-12,3
329924,프론트엔드 개발자,아스크스토리디에스,백엔드,스타트업/중소,"AWS, CI/CD, Docker, Git, Java, JavaScript, Kubernetes, React, TypeScript",2026-01,1
329923,스마트공장 SI 프로젝트 기획/관리 (FDE),컨포트랩,PM_기획,스타트업/중소,,2025-12,6
329916,안드로이드 SDK 개발자,제로백데브,백엔드,스타트업/중소,"Kotlin, RAG",2025-12,5
329908,백엔드 개발자 (1-2년),쿼카크루,백엔드,스타트업/중소,"Java, MySQL, Redis, Spring",2025-12,0
329907,정보보호 데이터 엔지니어,카카오뱅크(kakaobank),데이터,대기업,"Ansible, Kafka",2026-04,8
329898,Frontend Lead,크로스이엔에프,백엔드,스타트업/중소,"React, TypeScript",2025-12,3
329884,테크리드(8년차 이상),와이즐리컴퍼니,백엔드,스타트업/중소,"AWS, CI/CD, Java, JavaScript, NestJS, PostgreSQL, React, React Native, Redis, Terraform, TypeScript",2025-12,2
329867,백엔드 엔지니어,유닛블랙,백엔드,스타트업/중소,"AWS, Docker, DynamoDB, Elasticsearch, Git, GitHub, Go, Kubernetes, MySQL, NestJS, Redis, TypeScript",2025-12,2
329847,백엔드 개발자(주니어),다이사,백엔드,스타트업/중소,"AWS, CI/CD, Django, Docker, Git, GitHub, GitHub Actions, Go, Kotlin, Kubernetes, MySQL, Python, Spring, Spring Boot",2025-12,0
329840,보안 엔지니어 (2년 이상),스푼랩스,DevOps,스타트업/중소,,2025-12,8
329835,S/W 풀스택 개발 팀장 (Software Engineering Team Lead),휴머닉스,백엔드,스타트업/중소,"AWS, CI/CD, Java, JavaScript, Vue",2025-12,0
329831,클라우드 보안 엔지니어 (5년 이상),스푼랩스,DevOps,스타트업/중소,"AWS, GCP",2025-12,8
329826,프론트엔드/백엔드 개발자,이클라우드에이아이,백엔드,스타트업/중소,"Agile, GPT, React, React Native",2025-12,1
329798,"Software Engineer, Full Stack - 광고플랫폼",놀유니버스,백엔드,스타트업/중소,"AWS, Java, JavaScript, Kafka, Kotlin, Kubernetes, Python, React, Spring, TypeScript",2025-12,1
329795,웹 퍼블리셔,광고인,프론트엔드,스타트업/중소,"Java, JavaScript",2025-12,1
329785,"SW Engineer, Backend - Platform Engineering",놀유니버스,백엔드,스타트업/중소,"AWS, Azure, GCP, Java, Kotlin, Kubernetes, React, Spring, TypeScript",2025-12,0
329766,디지털 채널 Back-end 개발자 (웹/앱),씨제이푸드빌(CJ푸드빌),백엔드,대기업,"AWS, Azure, Confluence, GCP, Git, Go, Java, Jira, Kotlin, MySQL, Oracle, Spring",2025-12,0
329746,DevOps  / 시스템 관리자,유핀테크허브(유트랜스퍼),백엔드,스타트업/중소,"AWS, CI/CD, Java, Linux, Python",2025-12,2
329744,Re:catch 프론트엔드 엔지니어,비즈니스캔버스,프론트엔드,스타트업/중소,"CI/CD, Git, GitHub, GitHub Actions, React, TypeScript",2025-12,3
329742,C# WinForm Developer,피앤디솔루션,데이터,스타트업/중소,C#,2025-12,0
329738,[쿠팡] Sr. Security Solution Engineer(Blue Team),쿠팡,데이터,대기업,"AWS, Azure, GCP, Linux",2025-12,8
329725,프론트엔드 개발자,피클플러스,프론트엔드,스타트업/중소,"Git, GitHub, GitHub Actions, Java, JavaScript, React, TypeScript",2025-12,1
329715,백엔드 개발자,스포츠투아이,백엔드,스타트업/중소,"AWS, C#, CI/CD, Docker, FastAPI, Git, GitHub, GitHub Actions, Go, Java, Kafka, Linux, MariaDB, MongoDB, Python, Redis, Spring, Spring Boot",2025-12,0
329708,Lead Backend Engineer,팀스파르타,백엔드,스타트업/중소,,2025-12,3
329701,Senior Frontend Engineer,여기어때투어,백엔드,스타트업/중소,"LLM, LangChain, Python, RAG, React, TypeScript, Vector DB",2025-12,1
329690,AI 응용개발,인피닉(infiniq),AI_ML,스타트업/중소,,2025-12,4
329669,ARCUS 캐시 응용 개발,잼투인,백엔드,스타트업/중소,"Go, Java, Linux, Rust, Spring",2025-12,0
329666,백엔드 엔지니어,한국딥러닝,백엔드,스타트업/중소,"CI/CD, Docker, FastAPI, Git, GitHub, GitHub Actions, Go, Kafka, Linux, MSA, MongoDB, PostgreSQL, Python, RabbitMQ, Redis, Scrum",2025-12,0
329659,웹 개발 신입(신규 프로젝트 & 유지보수),한국해양기상기술,기타,스타트업/중소,"Java, JavaScript, Python",2025-11,0
329658,[신입]보안솔루션 개발,윈스테크넷,보안,스타트업/중소,Linux,2025-12,8
329656,APT보안솔루션 개발,윈스테크넷,DevOps,스타트업/중소,"Linux, Python",2025-12,0
329654,SSL VPN 개발,윈스테크넷,모바일,스타트업/중소,,2025-12,2
329653,IPsec VPN 개발,윈스테크넷,기타,스타트업/중소,,2025-12,2
329652,방화벽 엔진 개발,윈스테크넷,기타,스타트업/중소,,2025-12,6
329650,악성코드 분석 개발,윈스테크넷,기타,스타트업/중소,Python,2025-12,0
329646,AI보안솔루션 개발,윈스테크넷,AI_ML,스타트업/중소,Python,2025-12,4
329645,GUI 개발(delphi),윈스테크넷,프론트엔드,스타트업/중소,Git,2025-12,6
329638,Linux기반 OS 개발,윈스테크넷,보안,스타트업/중소,Linux,2025-12,0
329631,PG정산 개발자(3년이상),이오스시스템,백엔드,스타트업/중소,"Java, MySQL, Spring, Spring Boot",2025-12,0
329606,연구개발 제어/동역학,대일시스템,AI_ML,스타트업/중소,"Go, MATLAB, Python",2025-12,6
329604,[인턴] AI DevOps,업스테이지,백엔드,스타트업/중소,"AWS, Azure, CI/CD, Docker, GCP, Git, Java, Jira, K8s, Kubernetes, Linux, Python, Spring",2025-12,0
329602,대일시스템 필드 엔지니어,대일시스템,기타,스타트업/중소,,2025-12,6
329599,연구개발 전자회로 설계(전자공학),대일시스템,기타,스타트업/중소,MATLAB,2025-12,6
329583,"보안솔루션 개발(Linux, C)",윈스테크넷,AI_ML,스타트업/중소,"Git, Linux",2025-12,8
329573,Platform Software Engineer,업스테이지,AI_ML,스타트업/중소,"AWS, Ansible, Azure, CI/CD, Git, GitHub, GitHub Actions, Go, Kubernetes, LLM, Terraform",2025-12,0
329570,Data Engineer_전사 데이터 부문,두나무(업비트/증권플러스),데이터,스타트업/중소,"Git, GitHub, GitLab",2025-12,7
329568,Infra Engineer,업스테이지,AI_ML,스타트업/중소,"AWS, Ansible, Azure, Docker, GCP, Git, GitHub, GitHub Actions, Kubernetes, Linux, Python, Terraform",2025-12,2
329566,[바리바디] 어플리케이션 개발자(Android / iOS),에스피알티,백엔드,스타트업/중소,AWS,2025-12,5
329539,언어모델 기반 AI NPC 연구 개발 담당,스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,"Fine-tuning, LLM, RAG",2026-04,4
329528,2D/3D Perception A.I Engineer,씨메스로보틱스,AI_ML,스타트업/중소,"MLOps, PyTorch, Transformer, 머신러닝",2026-01,4
329526,통합 협업솔루션 운영 및 관리 담당 (리드급),스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,"CI/CD, Confluence, Git, GitLab, Java, Jenkins, Jira, Linux, Spring, Spring Boot, Vue",2026-04,2
329520,[LOST ARK Mobile] 클라이언트개발(엔진) 담당,스마일게이트 캠퍼스 지점,모바일,스타트업/중소,,2026-04,5
329517,LOST ARK Mobile 서버개발 담당,스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,,2026-04,0
329513,[LOST ARK] 게임 데이터 엔지니어 담당 (플랫폼개발),스마일게이트 캠퍼스 지점,데이터,스타트업/중소,"AWS, Airflow, Azure, CI/CD, Docker, GCP, Java, Kafka, MLOps, Python, Scala",2026-04,7
329509,[LOST ARK] 게임 데이터엔지니어 담당,스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,"AWS, Azure, Django, Flask, Go, Kafka, MLOps",2026-04,7
329504,[LOST ARK Mobile] TA 담당,스마일게이트 캠퍼스 지점,기타,스타트업/중소,Python,2026-04,1
329489,DBA 담당 [LOST ARK],스마일게이트 캠퍼스 지점,기타,스타트업/중소,MySQL,2026-04,7
329488,통합 협업솔루션 운영 및 관리 담당,스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,"CI/CD, Confluence, Git, GitLab, Java, Jenkins, Jira, Linux, Spring, Spring Boot, Vue",2026-04,2
329474,피지컬 AI DataOps 플랫폼 JAVA 백엔드 개발자 (3년이상),파트리지시스템즈,백엔드,스타트업/중소,"Docker, Java, Kotlin, Kubernetes, Spring",2025-12,3
329472,백엔드 개발자,클로봇,백엔드,스타트업/중소,"C#, Git, Java, Jira, Spring, Spring Boot",2025-12,0
329466,Server Engineer : AD Squad,라포랩스,백엔드,스타트업/중소,"Elasticsearch, Kafka, Kotlin, MySQL, Redis, Spring, 마이크로서비스",2025-12,3
329464,보안칩 SW 개발자,아이씨티케이,백엔드,스타트업/중소,"C#, Java",2025-12,6
329451,프론트엔드 개발자,아이트럭,백엔드,스타트업/중소,"Angular, CI/CD, Git, Java, JavaScript, Kotlin, React, React Native, Swift, TypeScript, Vue",2025-12,1
329446,웹 개발 신입,한국해양기상기술,기타,스타트업/중소,"Java, JavaScript, Python",2025-11,0
329438,정보보안(기술) 담당자 (취약점 분석 및 보안시스템 운영),펑타이그레이터차이나(PTKOREA),DevOps,스타트업/중소,Python,2026-02,8
329436,대기업 고객사 IT 시스템 운영 엔지니어 (네트워크),펑타이그레이터차이나(PTKOREA),보안,스타트업/중소,Linux,2026-05,2
329425,보안(Security) 실무 담당 리더,다키클라우드코리아,DevOps,스타트업/중소,,2025-12,8
329414,LOST ARK Mobile 클라이언트개발(AI컨텐츠) 담당,스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,,2025-12,5
329406,DevOps Engineer,오피지지(OP.GG),AI_ML,스타트업/중소,"AWS, CI/CD, Docker, GCP, Git, GitHub, GitHub Actions, Go, Golang, Jenkins, Kubernetes, LLM, Linux, Python, Terraform",2025-12,2
329385,Cloud TA,하이슨,DevOps,스타트업/중소,,2025-12,2
329372,[CROSSFIRE] DBA 담당,스마일게이트 캠퍼스 지점,데이터,스타트업/중소,Python,2025-12,7
329358,보안인프라 운영 담당,스마일게이트 캠퍼스 지점,DevOps,스타트업/중소,,2025-12,8
329356,웹프로그램 담당 [LOST ARK],스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,"Angular, C#, Elasticsearch, Java, JavaScript, React, Redis, Vue",2025-12,1
329341,PC 클라이언트 개발자,스마일게이트 캠퍼스 지점,기타,스타트업/중소,,2025-12,1
329337,백엔드 개발자(5년 이상),디윅스,백엔드,스타트업/중소,"LLM, Linux, Python, RAG, Spring, Spring Boot",2026-01,4
329333,클라우드 보안 운영 담당,스마일게이트 캠퍼스 지점,DevOps,스타트업/중소,"AWS, K8s",2025-12,8
329324,플랫폼 엔지니어링 담당,스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,"AWS, CI/CD, Git, GitLab, K8s, Linux, Terraform",2025-12,2
329316,그룹사 개인정보 보호 담당,스마일게이트 캠퍼스 지점,DevOps,스타트업/중소,,2025-12,8
329305,[LOST ARK] DBA 담당,스마일게이트 캠퍼스 지점,기타,스타트업/중소,MySQL,2025-12,3
329293,보안 엔지니어 모의해킹 및 취약점 분석,스마일게이트 캠퍼스 지점,백엔드,스타트업/중소,"Java, Linux, Python",2025-12,8
329271,웹스크래핑 개발자 (5년 이상),트립일레븐,풀스택,스타트업/중소,"AWS, CI/CD",2025-11,1
329269,게임 백엔드 개발자(5년 이상),슈퍼센트,백엔드,스타트업/중소,"AWS, CI/CD, Docker, FastAPI, GCP, Git, GitHub, GitHub Actions, Java, JavaScript, Jenkins, Python, Redis, Terraform",2025-12,3
329252,이리온 사용자 어플리케이션 개발자 (포항),폴라리스쓰리디(Polaris3D),모바일,스타트업/중소,"Flutter, Linux",2025-12,5
329251,이리온 C++ 어플리케이션 개발자 (포항),폴라리스쓰리디(Polaris3D),DevOps,스타트업/중소,"CI/CD, Docker, Linux",2025-12,6
329246,개발팀장,문토,백엔드,스타트업/중소,"AWS, Docker, Flutter, Git, GitHub, GitHub Actions, Go, MongoDB, NestJS, PostgreSQL, React, Redis, TypeScript",2026-04,3
329245,[쿠팡] 프론트엔드 개발자,쿠팡,백엔드,대기업,"Express, GraphQL, Java, JavaScript, React, TypeScript",2025-12,1
329235,풀스택 개발자,데이터드리븐,백엔드,스타트업/중소,"CI/CD, Django, Docker, Elasticsearch, Git, GitHub, GitHub Actions, Go, K8s, Kafka, PostgreSQL, React, Redis, TypeScript",2025-12,0
328448,소프트웨어 개발 PM,인터엑스,백엔드,스타트업/중소,,2025-12,6
328447,풀스택 (Full-stack) 개발자,인터엑스,백엔드,스타트업/중소,"Docker, Elasticsearch, Git, Go, Java, MongoDB, Python, REST API, React",2025-12,1
328441,Web Fullstack Engineer,피카디,백엔드,스타트업/중소,"AWS, Docker, GCP, TypeScript",2025-12,0
328431,백엔드 개발자,케이존,백엔드,스타트업/중소,"Java, Kotlin, MySQL, REST API, Spring",2025-12,0
328428,대기업 AWS 기반 NoSQL/Cache 전문 DBA 운영 인력 모집,이그레브,데이터,스타트업/중소,"AWS, DynamoDB, Go, MongoDB, MySQL, PostgreSQL, Redis",2025-12,2
328308,백엔드 개발팀 리드,피클플러스,백엔드,스타트업/중소,"AWS, Django, Go, MSA, NestJS, Python",2025-12,3
328297,AI Engineer (Agentic Workflow & Backend),택스캔버스,백엔드,스타트업/중소,"AWS, Azure, ChromaDB, Docker, FastAPI, GCP, LLM, LangChain, MLOps, PostgreSQL, Python, RAG",2026-02,4
328285,시니어 백엔드 개발자 - 플랫폼 (재무/정산),트래블월렛,백엔드,스타트업/중소,"AWS, Kotlin, MSA, Redis, Spring",2025-12,0
328279,시니어 백엔드 개발자 - 플랫폼 (금융),트래블월렛,백엔드,스타트업/중소,"AWS, Kotlin, MSA, Redis, Spring",2025-12,0
328273,EMS 시스템 프로그램 개발자,에너닷,백엔드,스타트업/중소,MySQL,2026-01,0
328255,커넥션플랫폼팀 Front-end Engineer (Vue.JS),바로고(barogo),프론트엔드,스타트업/중소,"AWS, Docker, Java, JavaScript, Jenkins, Kubernetes, React, Vue",2025-12,3
328249,[H2O KOREA] PHP 개발자,에이치투오호스피탈리티,백엔드,스타트업/중소,"Git, Java, PHP, Spring",2025-11,0
328247,커머스 백엔드 개발 (5년 이상),피비지(PBG),백엔드,스타트업/중소,"AWS, CI/CD, Django, Elasticsearch, FastAPI, GCP, Git, Go, Java, Kafka, MSA, MySQL, PostgreSQL, Python, REST API, Redis, Spring",2025-12,0
328243,커머스 프론트엔드 개발 (5년 이상),피비지(PBG),백엔드,스타트업/중소,"Git, Java, JavaScript, REST API, React, TypeScript, Vue",2025-12,1
328240,풀스택 개발자 (3년 이상 / 외국인 지원 가능),핑크패커,백엔드,스타트업/중소,"AWS, GCP, PHP, REST API",2025-12,0
328218,[EnIT] Frontend Developer - 생성형 AI Service 개발 ,현대오토에버,백엔드,대기업,"CI/CD, Git, GraphQL, Java, JavaScript, RAG, React, TypeScript",2025-11,4
328203,프론트엔드 개발자 (UI/UX 디자인 가능),웨이스,백엔드,스타트업/중소,React,2025-12,1
328202,LLM 추론 인공지능 AI 연구원(석사이상),보로노이,AI_ML,스타트업/중소,"Elasticsearch, FAISS, Fine-tuning, LLM, NLP, RAG, Transformer",2025-12,4
328171,IT팀장(개발자),프롭핀테크,데이터,스타트업/중소,,2025-12,3
328163,AI B2C 서비스 전담 풀스택 개발자,비에프에이아이,백엔드,스타트업/중소,"AWS, Azure, Docker, GPT, Java, LLM, Linux, PostgreSQL, React, Spring, Spring Boot, TypeScript",2025-12,3
328154,[인턴] 개발자,블리몽키즈,백엔드,스타트업/중소,"AWS, Azure, Django, Docker, GPT, Git, GitHub, Go, GraphQL, Kubernetes, MySQL, PostgreSQL, Python, REST API, Terraform",2025-12,4
328143,[공통] Data Analytics Engineer / Data Engineer,고위드,데이터,스타트업/중소,"Airflow, GCP, Python, Terraform",2025-12,7
328137,로봇 관제 시스템(CROMS) 프론트엔드 개발자,클로봇,프론트엔드,스타트업/중소,Vue,2025-12,3
328136,대만 반도체 (Realtek) FAE,에스앤비플러스,기타,스타트업/중소,Linux,2026-01,6
328134,[자리톡] Java 백엔드 개발자,자리컴퍼니,백엔드,스타트업/중소,"AWS, Java, MySQL, REST API, Spring",2025-12,0
328133,Back End 개발자,콜게이트,백엔드,스타트업/중소,"AWS, CI/CD, Git, Go, Golang, Java, Jenkins, MySQL, Oracle, Spring",2026-01,0
328130,개인화 데이터플랫폼 백엔드 개발자(시니어),카카오페이증권(kakaopay증권),백엔드,대기업,"Kafka, MSA, Redis",2025-12,7
328114,CISO,엘리스,프론트엔드,스타트업/중소,"Python, React",2025-12,8
328111,Backend Engineering 팀장 (블록체인),빗썸,백엔드,스타트업/중소,"Java, Jira, Kotlin, Spring, Spring Boot",2025-12,3
328107,Senior Backend Engineer (블록체인),빗썸,백엔드,스타트업/중소,"Docker, Java, Kafka, Kotlin, Kubernetes, MSA, MySQL, Redis, Spring, Spring Boot, 마이크로서비스",2025-12,0
328104,Product Data Analyst,빗썸,모바일,스타트업/중소,Python,2025-12,7
328091,Backend Development (백엔드 개발자),포지큐브(POSICUBE),백엔드,스타트업/중소,"AWS, Azure, CI/CD, GCP, Java, Kubernetes, LLM, MSA, RAG, Spring, 마이크로서비스",2026-02,0
328081,보안 Application 개발[하이브리드 근무],다이렉트클라우드랩,보안,스타트업/중소,"MariaDB, MySQL",2025-12,0
328076,AI 면접 에이전트 Spring 백엔드 개발자,마스터웨이,백엔드,스타트업/중소,"AWS, Go, Java, Spring",2026-01,4
328075,3D Sensor Application Engineer (필드/비전 엔지니어),스누아이랩,PM_기획,스타트업/중소,C#,2026-01,6
328074,Back-end 개발 (1년 이상),엔카닷컴,백엔드,스타트업/중소,"AWS, Java, MSA, Spring",2025-11,0
328070,Front-end 개발자(신입),헬스커넥트,백엔드,스타트업/중소,"Java, JavaScript, React, TypeScript",2025-12,1
328069,Front-end 개발자,헬스커넥트,백엔드,스타트업/중소,"Java, JavaScript, React, TypeScript",2025-12,1
328066,DevOps Engineer,미소(miso),DevOps,스타트업/중소,"AWS, CI/CD, Git, GitHub, GitHub Actions, Kubernetes, Terraform",2025-12,2
328065,[준오헤어] Back-End 개발자,부드러운돌멩이,백엔드,스타트업/중소,"AWS, Azure, CI/CD, Django, Docker, Git, Go, Java, Kafka, MySQL, PostgreSQL, Python, Redis, Spring, Vue",2026-03,0
328049,RN & React / Nest 개발자 풀스택 개발자,슬라이스마인드,백엔드,스타트업/중소,"CI/CD, Docker, Git, Go, MySQL, PostgreSQL, RAG, REST API, React, React Native, TypeScript",2025-12,5
328033,백엔드 개발자 (Java/Spring) 7년 이상,패스트레인(여신티켓),백엔드,스타트업/중소,"AWS, CI/CD, Docker, Elasticsearch, GCP, Java, Kafka, Kubernetes, MySQL, REST API, RabbitMQ, Redis, Spring, Spring Boot",2025-12,0
328019,[경력] 인재 Pool 상시모집 프론트 개발자(FE),비큐에이아이,백엔드,스타트업/중소,"React, Spring, Spring Boot",2025-12,1
328016,[경력] 인재 Pool 상시모집 시스템 엔지니어(SE),비큐에이아이,모바일,스타트업/중소,Linux,2025-12,2
328012,모바일 앱 개발자,슈퍼컴퍼니,모바일,스타트업/중소,,2025-12,5
328008,[경력] 인재 Pool 상시모집 백엔드 개발자(BE),비큐에이아이,백엔드,스타트업/중소,"Elasticsearch, FastAPI, Flask, MSA, Python, REST API, Spring, 마이크로서비스",2025-12,0
328004,10x Product Builder,스펙터,백엔드,스타트업/중소,"AWS, CI/CD, Java, Kotlin, React, React Native, Redis, Spring, TypeScript",2025-12,1
327993,웹 개발자,아우라웍스,백엔드,스타트업/중소,"FastAPI, Git, GitHub, React",2025-11,1
327975,풀스택 팀장 (Fullstack Tech Lead),이아나이코리아,백엔드,스타트업/중소,"AWS, Docker, GCP, Git, Go, Golang, Kubernetes, PostgreSQL, REST API, React, TypeScript, gRPC, 마이크로서비스",2025-12,0
327973,큐샵 웹/쇼핑몰 AI빌더 - 풀 스택 개발자 (3년 이상~),스퀘어스,백엔드,스타트업/중소,"AWS, CI/CD, NestJS, React",2025-11,3
327965,이커머스 테크 백엔드 개발자,와이톤,백엔드,스타트업/중소,"AWS, CI/CD, Django, Docker, FastAPI, Flask, Git, GitHub, GitHub Actions, Go, LLM, LangChain, NestJS, Nginx, PHP, PostgreSQL, Python, Redis, Terraform, TypeScript",2025-12,0
327964,"백엔드 엔지니어 (2년이상, 재택근무)",이아나이코리아,백엔드,스타트업/중소,"AWS, Azure, GCP, Go, Golang, PostgreSQL, Python, REST API, TypeScript, 마이크로서비스",2025-12,0
327954,데이터 엔지니어,메이븐클라우드서비스,데이터,스타트업/중소,"Azure, Python",2025-12,7
327953,데이터 분석 및 BI 시각화 엔지니어,메이븐클라우드서비스,데이터,스타트업/중소,,2025-12,7
327950,클라우드 인프라 엔지니어(3년이상),메이븐클라우드서비스,DevOps,스타트업/중소,"AWS, Azure, Docker, Linux",2025-12,2
327945,Sr~Staff Frontend Engineer (Coupang Eats),쿠팡,백엔드,대기업,"React, Vue",2025-12,1
327939,Service Security Engineer,코인원(coinone),DevOps,스타트업/중소,"Kotlin, TypeScript",2025-12,8
327933,풀스텍 개발자,러닝포인트,백엔드,스타트업/중소,"AWS, Git, MySQL, Redis",2025-12,0
327932,[텐바이텐] 리드 백엔드 개발자,백패커,백엔드,스타트업/중소,"AWS, CI/CD, Docker, Java, Kafka, Kubernetes, RabbitMQ, Spring, Spring Boot",2025-12,0
327931,풀스텍 개발자-신입,러닝포인트,백엔드,스타트업/중소,"AWS, Git, MySQL, Redis",2025-11,0
